Population (in K),Carpool (%),Toll ($),day,time in mins,Toll lane speed in km/h, Reg Lane 1  speed,Reg Lane 2 speed,Reg Lane 3 speed, all reg lane avg speed,carpool Lane speed, Toll lane cars num,Reg Lane 1 cars num,Reg Lane 2 cars num,Reg Lane 3 cars num, All Reg Lane cars num, carpool Lane cars num 
20,20,1,1,5.5,100.008,97.9514,100.008,100.008,99.3225,100.008,0,3,0,0,3,1
20,20,1,1,5.6,100.008,98.4655,100.008,100.008,99.4938,100.008,0,4,0,0,4,1
20,20,1,1,5.7,100.008,95.2153,100.008,100.008,98.4104,99.7131,0,13,0,0,13,3
20,20,1,1,5.8,100.008,95.0867,100.008,100.008,98.3676,98.0096,0,29,1,0,30,11
20,20,1,1,5.9,100.008,95.9108,96.4887,98.2004,96.8666,96.8571,0,55,5,1,61,18
20,20,1,1,6,100.008,96.295,98.0538,100.008,98.1189,96.0043,0,96,13,1,110,29
20,20,1,1,6.1,100.008,96.0068,98.8551,99.0247,97.9622,92.6986,0,166,36,5,207,51
20,20,1,1,6.2,100.008,95.404,98.6072,98.682,97.5644,88.8187,0,273,98,16,387,101
20,20,1,1,6.3,100.008,94.831,98.3013,98.4173,97.1832,86.962,0,412,182,55,649,167
20,20,1,1,6.4,100.008,92.2082,96.8921,97.8154,95.6385,83.7867,0,542,358,143,1043,276
20,20,1,1,6.5,100.008,89.631,95.4754,96.3782,93.8282,81.2206,0,704,560,325,1589,434
20,20,1,1,6.6,100.008,84.5637,92.8195,90.9114,89.4315,78.8285,0,934,834,594,2362,638
20,20,1,1,6.7,100.008,80.6159,88.1067,86.1248,84.9491,76.8182,0,1161,1101,900,3162,897
20,20,1,1,6.8,100.008,79.7105,85.2819,83.9847,82.9924,74.1246,0,1347,1333,1202,3882,1163
20,20,1,1,6.9,100.008,77.2149,83.1766,82.519,80.9702,72.9306,0,1534,1527,1433,4494,1386
20,20,1,1,7,100.008,77.0999,82.2784,79.9383,79.7722,71.1561,0,1702,1684,1667,5053,1663
20,20,1,1,7.1,100.008,75.9238,80.2369,78.9931,78.3846,70.5932,0,1806,1808,1821,5435,1851
20,20,1,1,7.2,99.061,74.294,79.7498,78.7143,77.586,69.7366,3,1948,1903,1942,5793,2013
20,20,1,1,7.3,92.6892,72.3866,78.3331,76.7453,75.8217,68.7802,48,2062,1996,2055,6113,2163
20,20,1,1,7.4,79.8993,72.3615,77.1722,73.6087,74.3808,67.9693,240,2088,2030,2128,6246,2250
20,20,1,1,7.5,75.4322,70.9359,76.4103,72.1978,73.1813,65.7111,535,2148,2056,2147,6351,2289
20,20,1,1,7.6,72.8052,69.8354,74.5603,70.7429,71.7128,67.1622,850,2164,2108,2200,6472,2331
20,20,1,1,7.7,73.0606,68.1881,71.786,70.466,70.1467,65.9719,1136,2225,2157,2197,6579,2290
20,20,1,1,7.8,72.9632,69.287,70.5364,68.2266,69.35,64.0955,1368,2218,2207,2288,6713,2128
20,20,1,1,7.9,72.4022,66.0864,70.4442,66.0394,67.5233,61.968,1437,2268,2193,2350,6811,1921
20,20,1,1,8,71.4735,65.5977,68.2052,64.9022,66.235,58.6427,1387,2078,2010,2079,6167,1697
20,20,1,1,8.1,68.1413,64.3891,66.1484,60.736,63.7579,52.9941,1308,1873,1764,1870,5507,1476
20,20,1,1,8.2,62.223,59.8348,61.5262,56.9622,59.441,44.8433,1116,1658,1515,1592,4765,1213
20,20,1,1,8.3,56.1834,53.7985,53.2667,49.2858,52.117,40.9667,861,1420,1267,1327,4014,959
20,20,1,1,8.4,43.7293,43.9152,41.3392,37.9087,41.0544,38.699,607,1164,1030,1046,3240,706
20,20,1,1,8.5,93.4646,41.4344,38.5907,37.2216,39.0822,44.8059,354,897,773,803,2473,447
20,20,1,1,8.6,94.7733,43.0568,38.8513,38.1098,40.0059,67.6875,110,617,542,542,1701,191
20,20,1,1,8.7,94.1917,91.625,96.4073,100.008,96.0134,100.008,10,333,288,300,921,13
20,20,1,1,8.8,93.6218,91.8003,100.008,100.008,97.2721,100.008,9,67,40,39,146,0
20,20,1,1,8.9,100.008,92.2281,100.008,100.008,97.4147,100.008,5,7,0,0,7,0
20,20,1,1,9,100.008,91.1334,100.008,100.008,97.0498,100.008,2,2,0,0,2,0
20,20,1,1,9.1,100.008,91.1334,100.008,100.008,97.0498,100.008,0,1,0,0,1,0
20,20,1,1,9.2,100.008,91.1334,100.008,100.008,97.0498,100.008,0,1,0,0,1,0
20,20,1,1,9.3,100.008,100.008,100.008,100.008,100.008,100.008,0,1,0,0,1,0
20,20,2,1,5.3,100.008,100.008,100.008,100.008,100.008,100.008,0,0,0,0,0,1
20,20,2,1,5.4,100.008,93.8381,100.008,100.008,97.9514,100.008,0,1,0,0,1,1
20,20,2,1,5.5,100.008,96.923,100.008,100.008,98.9797,100.008,0,2,0,0,2,3
20,20,2,1,5.6,100.008,92.7434,100.008,100.008,97.5865,97.1579,0,6,0,0,6,4
20,20,2,1,5.7,100.008,94.2986,100.008,100.008,98.1049,96.2078,0,21,1,0,22,4
20,20,2,1,5.8,100.008,95.7551,100.008,100.008,98.5904,95.7688,0,39,2,0,41,13
20,20,2,1,5.9,100.008,96.5534,98.9671,92.7814,96.1007,95.0098,0,80,9,1,90,20
20,20,2,1,6,100.008,96.7543,98.076,100.008,98.2794,94.6855,0,148,19,2,169,36
20,20,2,1,6.1,100.008,96.1419,99.0367,97.8827,97.6871,90.6274,0,237,50,7,294,74
20,20,2,1,6.2,100.008,95.0529,98.6816,98.8447,97.5264,89.2596,0,336,134,31,501,129
20,20,2,1,6.3,100.008,94.013,97.0087,99.4188,96.8135,84.8804,0,475,254,101,830,202
20,20,2,1,6.4,100.008,91.0511,96.6061,95.1555,94.2709,82.6238,0,652,444,230,1326,313
20,20,2,1,6.5,100.008,87.869,95.1288,94.5274,92.5084,81.0765,0,796,669,436,1901,460
20,20,2,1,6.6,100.008,84.2251,90.9571,91.6799,88.9541,77.979,0,1018,951,684,2653,690
20,20,2,1,6.7,100.008,81.1524,87.4338,87.5738,85.3867,74.2383,0,1240,1194,1009,3443,974
20,20,2,1,6.8,100.008,79.1842,84.9445,84.508,82.8789,72.1215,0,1404,1420,1287,4111,1237
20,20,2,1,6.9,100.008,78.0691,82.8762,82.326,81.0905,70.9307,0,1579,1586,1531,4696,1476
20,20,2,1,7,100.008,75.9133,81.7152,81.144,79.5908,70.4291,0,1733,1728,1682,5143,1733
20,20,2,1,7.1,100.008,74.9492,80.3712,78.9037,78.0747,70.1793,0,1865,1818,1829,5512,1953
20,20,2,1,7.2,95.2511,74.085,80.3726,78.4225,77.6267,69.8919,11,1959,1903,1939,5801,2053
20,20,2,1,7.3,87.045,73.2504,78.1263,76.6379,76.0049,69.5133,60,2014,1992,2037,6043,2265
20,20,2,1,7.4,78.4294,72.8879,76.674,73.8392,74.467,67.7944,245,2056,2041,2110,6207,2313
20,20,2,1,7.5,70.2624,72.2659,73.6969,72.335,72.7659,65.869,532,2090,2104,2132,6326,2366
20,20,2,1,7.6,68.3722,70.813,72.5349,72.5789,71.9756,64.0233,820,2152,2144,2152,6448,2401
20,20,2,1,7.7,68.822,69.3029,70.6843,70.593,70.1934,62.5329,1072,2186,2168,2199,6553,2263
20,20,2,1,7.8,68.2812,67.4869,71.4171,69.8247,69.5762,60.8823,1238,2255,2189,2238,6682,2095
20,20,2,1,7.9,67.2686,67.2353,69.8621,68.1452,68.4142,57.9924,1271,2243,2189,2244,6676,1880
20,20,2,1,8,66.3465,65.4773,67.2065,66.365,66.3496,53.4903,1243,2035,1974,1997,6006,1643
20,20,2,1,8.1,66.0238,64.1425,64.5354,62.7648,63.8142,45.9702,1213,1811,1726,1758,5295,1405
20,20,2,1,8.2,60.6548,60.6117,59.0791,58.3636,59.3515,42.2569,1086,1614,1473,1472,4559,1161
20,20,2,1,8.3,50.8757,53.3006,51.1868,49.691,51.3928,43.4233,862,1372,1223,1215,3810,911
20,20,2,1,8.4,33.7927,43.6717,39.9196,38.9796,40.857,41.2444,604,1110,972,968,3050,648
20,20,2,1,8.5,100.008,43.9247,38.4905,38.0287,40.148,74.2718,342,829,729,729,2287,394
20,20,2,1,8.6,100.008,48.9304,39.0874,37.5547,41.8575,83.1045,101,532,493,483,1508,130
20,20,2,1,8.7,100.008,93.5453,99.1615,100.008,97.5716,100.008,2,269,225,227,721,4
20,20,2,1,8.8,100.008,91.4937,100.008,100.008,97.1699,100.008,2,28,1,0,29,0
20,20,2,1,8.9,100.008,94.1602,100.008,100.008,98.0587,100.008,2,9,0,0,9,0
20,20,2,1,9,100.008,91.1334,100.008,100.008,97.0498,100.008,2,4,0,0,4,0
20,20,2,1,9.1,100.008,91.1334,100.008,100.008,97.0498,100.008,0,2,0,0,2,0
20,20,2,1,9.2,100.008,91.1334,100.008,100.008,97.0498,100.008,0,1,0,0,1,0
20,20,2,1,9.3,100.008,91.1334,100.008,100.008,97.0498,100.008,0,1,0,0,1,0
20,20,2,1,9.4,100.008,100.008,100.008,100.008,100.008,100.008,0,1,0,0,1,0
20,20,3,1,5.4,100.008,100.008,100.008,100.008,100.008,96.923,0,1,0,0,1,2
20,20,3,1,5.5,100.008,95.2917,100.008,100.008,98.4359,93.8381,0,6,0,0,6,2
20,20,3,1,5.6,100.008,94.6822,100.008,100.008,98.2327,93.824,0,8,0,0,8,3
20,20,3,1,5.7,100.008,95.7821,100.008,88.9677,94.9193,95.939,0,17,0,1,18,6
20,20,3,1,5.8,100.008,95.9801,95.0197,100.008,97.0026,95.508,0,47,3,0,50,10
20,20,3,1,5.9,100.008,95.9186,99.8191,100.008,98.5819,94.395,0,77,8,1,86,19
20,20,3,1,6,100.008,96.7155,99.8101,100.008,98.8445,93.2301,0,131,17,0,148,35
20,20,3,1,6.1,100.008,95.8762,98.895,99.581,98.1174,93.5928,0,211,56,7,274,64
20,20,3,1,6.2,100.008,95.16,98.4373,98.3447,97.314,89.1959,0,322,111,27,460,98
