timestamp,intersection_id,detector_id,approach,lane_label,vehicle_count,avg_speed_kmh,source
2026-04-20T00:00:00,INT-001,D01,Toll,Toll-1,3,100.01,SimToll-15K-Day1
2026-04-20T00:00:00,INT-001,D02,North,N-1,0,80.0,SimToll-15K-Day1
2026-04-20T00:00:00,INT-001,D03,North,N-2,0,100.01,SimToll-15K-Day1
2026-04-20T00:00:00,INT-001,D04,North,N-3,3,100.01,SimToll-15K-Day1
2026-04-20T00:00:00,INT-001,D05,North,N-AGG,0,100.01,SimToll-15K-Day1
2026-04-20T00:00:00,INT-001,D06,Carpool,CP-1,0,100.01,SimToll-15K-Day1
2026-04-20T00:00:00,INT-001,D07,East,E-1,7,13.48,synthetic-extended
2026-04-20T00:00:00,INT-001,D08,East,E-2,7,22.08,synthetic-extended
2026-04-20T00:00:00,INT-001,D09,East,E-3,12,12.64,synthetic-extended
2026-04-20T00:00:00,INT-001,D10,East,E-AGG,11,11.76,synthetic-extended
2026-04-20T00:00:00,INT-001,D11,South,S-1,7,14.75,synthetic-extended
2026-04-20T00:00:00,INT-001,D12,South,S-2,14,20.88,synthetic-extended
2026-04-20T00:00:00,INT-001,D13,South,S-3,9,14.43,synthetic-extended
2026-04-20T00:00:00,INT-001,D14,South,S-AGG,14,17.96,synthetic-extended
2026-04-20T00:00:00,INT-001,D15,West,W-1,12,20.68,synthetic-extended
2026-04-20T00:00:00,INT-001,D16,West,W-2,4,23.39,synthetic-extended
2026-04-20T00:00:00,INT-001,D17,West,W-3,3,22.42,synthetic-extended
2026-04-20T00:00:00,INT-001,D18,West,W-AGG,11,15.7,synthetic-extended
2026-04-20T00:00:00,INT-001,D19,North,N-4,9,26.57,synthetic-extended
2026-04-20T00:00:00,INT-001,D20,Toll,Toll-2,7,12.89,synthetic-extended
2026-04-20T00:00:00,INT-001,D21,Carpool,CP-2,10,12.8,synthetic-extended
2026-04-20T00:00:00,INT-001,D22,Exit,EX-1,9,20.91,synthetic-extended
2026-04-20T00:15:00,INT-001,D01,Toll,Toll-1,4,100.01,SimToll-15K-Day1
2026-04-20T00:15:00,INT-001,D02,North,N-1,11,80.0,SimToll-15K-Day1
2026-04-20T00:15:00,INT-001,D03,North,N-2,3,100.01,SimToll-15K-Day1
2026-04-20T00:15:00,INT-001,D04,North,N-3,1,100.01,SimToll-15K-Day1
2026-04-20T00:15:00,INT-001,D05,North,N-AGG,2,100.01,SimToll-15K-Day1
2026-04-20T00:15:00,INT-001,D06,Carpool,CP-1,0,100.01,SimToll-15K-Day1
2026-04-20T00:15:00,INT-001,D07,East,E-1,10,12.51,synthetic-extended
2026-04-20T00:15:00,INT-001,D08,East,E-2,10,24.52,synthetic-extended
2026-04-20T00:15:00,INT-001,D09,East,E-3,13,25.42,synthetic-extended
2026-04-20T00:15:00,INT-001,D10,East,E-AGG,10,20.49,synthetic-extended
2026-04-20T00:15:00,INT-001,D11,South,S-1,7,11.98,synthetic-extended
2026-04-20T00:15:00,INT-001,D12,South,S-2,9,23.62,synthetic-extended
2026-04-20T00:15:00,INT-001,D13,South,S-3,2,24.94,synthetic-extended
2026-04-20T00:15:00,INT-001,D14,South,S-AGG,7,17.33,synthetic-extended
2026-04-20T00:15:00,INT-001,D15,West,W-1,12,21.42,synthetic-extended
2026-04-20T00:15:00,INT-001,D16,West,W-2,9,13.85,synthetic-extended
2026-04-20T00:15:00,INT-001,D17,West,W-3,6,14.6,synthetic-extended
2026-04-20T00:15:00,INT-001,D18,West,W-AGG,10,22.48,synthetic-extended
2026-04-20T00:15:00,INT-001,D19,North,N-4,7,21.0,synthetic-extended
2026-04-20T00:15:00,INT-001,D20,Toll,Toll-2,4,19.8,synthetic-extended
2026-04-20T00:15:00,INT-001,D21,Carpool,CP-2,7,13.86,synthetic-extended
2026-04-20T00:15:00,INT-001,D22,Exit,EX-1,10,15.57,synthetic-extended
2026-04-20T00:30:00,INT-001,D01,Toll,Toll-1,3,100.01,SimToll-15K-Day1
2026-04-20T00:30:00,INT-001,D02,North,N-1,62,80.0,SimToll-15K-Day1
2026-04-20T00:30:00,INT-001,D03,North,N-2,15,100.01,SimToll-15K-Day1
2026-04-20T00:30:00,INT-001,D04,North,N-3,1,100.01,SimToll-15K-Day1
2026-04-20T00:30:00,INT-001,D05,North,N-AGG,3,100.01,SimToll-15K-Day1
2026-04-20T00:30:00,INT-001,D06,Carpool,CP-1,0,100.01,SimToll-15K-Day1
2026-04-20T00:30:00,INT-001,D07,East,E-1,4,14.91,synthetic-extended
2026-04-20T00:30:00,INT-001,D08,East,E-2,6,24.13,synthetic-extended
2026-04-20T00:30:00,INT-001,D09,East,E-3,10,15.53,synthetic-extended
2026-04-20T00:30:00,INT-001,D10,East,E-AGG,8,25.86,synthetic-extended
2026-04-20T00:30:00,INT-001,D11,South,S-1,15,25.27,synthetic-extended
2026-04-20T00:30:00,INT-001,D12,South,S-2,11,14.65,synthetic-extended
2026-04-20T00:30:00,INT-001,D13,South,S-3,8,17.58,synthetic-extended
2026-04-20T00:30:00,INT-001,D14,South,S-AGG,13,13.54,synthetic-extended
2026-04-20T00:30:00,INT-001,D15,West,W-1,7,15.2,synthetic-extended
2026-04-20T00:30:00,INT-001,D16,West,W-2,12,19.87,synthetic-extended
2026-04-20T00:30:00,INT-001,D17,West,W-3,10,18.1,synthetic-extended
2026-04-20T00:30:00,INT-001,D18,West,W-AGG,15,17.64,synthetic-extended
2026-04-20T00:30:00,INT-001,D19,North,N-4,9,27.21,synthetic-extended
2026-04-20T00:30:00,INT-001,D20,Toll,Toll-2,4,19.4,synthetic-extended
2026-04-20T00:30:00,INT-001,D21,Carpool,CP-2,5,23.34,synthetic-extended
2026-04-20T00:30:00,INT-001,D22,Exit,EX-1,5,13.7,synthetic-extended
2026-04-20T00:45:00,INT-001,D01,Toll,Toll-1,0,100.01,SimToll-15K-Day1
2026-04-20T00:45:00,INT-001,D02,North,N-1,159,80.0,SimToll-15K-Day1
2026-04-20T00:45:00,INT-001,D03,North,N-2,80,100.01,SimToll-15K-Day1
