timestamp,intersection_id,phase_number,signal_state,duration_sec,control_mode
2026-04-20T00:00:00,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:00:20,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:00:24,INT-001,1,RED ON,3,fixed
2026-04-20T00:00:27,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:00:45,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:00:49,INT-001,2,RED ON,3,fixed
2026-04-20T00:00:52,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:01:08,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:01:12,INT-001,3,RED ON,3,fixed
2026-04-20T00:01:15,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:01:29,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:01:33,INT-001,4,RED ON,3,fixed
2026-04-20T00:01:36,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:01:56,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:02:00,INT-001,1,RED ON,3,fixed
2026-04-20T00:02:03,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:02:21,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:02:25,INT-001,2,RED ON,3,fixed
2026-04-20T00:02:28,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:02:44,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:02:48,INT-001,3,RED ON,3,fixed
2026-04-20T00:02:51,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:03:05,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:03:09,INT-001,4,RED ON,3,fixed
2026-04-20T00:03:12,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:03:32,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:03:36,INT-001,1,RED ON,3,fixed
2026-04-20T00:03:39,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:03:57,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:04:01,INT-001,2,RED ON,3,fixed
2026-04-20T00:04:04,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:04:20,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:04:24,INT-001,3,RED ON,3,fixed
2026-04-20T00:04:27,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:04:41,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:04:45,INT-001,4,RED ON,3,fixed
2026-04-20T00:04:48,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:05:08,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:05:12,INT-001,1,RED ON,3,fixed
2026-04-20T00:05:15,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:05:33,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:05:37,INT-001,2,RED ON,3,fixed
2026-04-20T00:05:40,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:05:56,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:06:00,INT-001,3,RED ON,3,fixed
2026-04-20T00:06:03,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:06:17,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:06:21,INT-001,4,RED ON,3,fixed
2026-04-20T00:06:24,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:06:44,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:06:48,INT-001,1,RED ON,3,fixed
2026-04-20T00:06:51,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:07:09,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:07:13,INT-001,2,RED ON,3,fixed
2026-04-20T00:07:16,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:07:32,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:07:36,INT-001,3,RED ON,3,fixed
2026-04-20T00:07:39,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:07:53,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:07:57,INT-001,4,RED ON,3,fixed
2026-04-20T00:08:00,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:08:20,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:08:24,INT-001,1,RED ON,3,fixed
2026-04-20T00:08:27,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:08:45,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:08:49,INT-001,2,RED ON,3,fixed
2026-04-20T00:08:52,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:09:08,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:09:12,INT-001,3,RED ON,3,fixed
2026-04-20T00:09:15,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:09:29,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:09:33,INT-001,4,RED ON,3,fixed
2026-04-20T00:09:36,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:09:56,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:10:00,INT-001,1,RED ON,3,fixed
2026-04-20T00:10:03,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:10:21,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:10:25,INT-001,2,RED ON,3,fixed
2026-04-20T00:10:28,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:10:44,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:10:48,INT-001,3,RED ON,3,fixed
2026-04-20T00:10:51,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:11:05,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:11:09,INT-001,4,RED ON,3,fixed
2026-04-20T00:11:12,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:11:32,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:11:36,INT-001,1,RED ON,3,fixed
2026-04-20T00:11:39,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:11:57,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:12:01,INT-001,2,RED ON,3,fixed
2026-04-20T00:12:04,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:12:20,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:12:24,INT-001,3,RED ON,3,fixed
2026-04-20T00:12:27,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:12:41,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:12:45,INT-001,4,RED ON,3,fixed
2026-04-20T00:12:48,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:13:08,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:13:12,INT-001,1,RED ON,3,fixed
2026-04-20T00:13:15,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:13:33,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:13:37,INT-001,2,RED ON,3,fixed
2026-04-20T00:13:40,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:13:56,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:14:00,INT-001,3,RED ON,3,fixed
2026-04-20T00:14:03,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:14:17,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:14:21,INT-001,4,RED ON,3,fixed
2026-04-20T00:14:24,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:14:44,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:14:48,INT-001,1,RED ON,3,fixed
2026-04-20T00:14:51,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:15:09,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:15:13,INT-001,2,RED ON,3,fixed
2026-04-20T00:15:16,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:15:32,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:15:36,INT-001,3,RED ON,3,fixed
2026-04-20T00:15:39,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:15:53,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:15:57,INT-001,4,RED ON,3,fixed
2026-04-20T00:16:00,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:16:20,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:16:24,INT-001,1,RED ON,3,fixed
2026-04-20T00:16:27,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:16:45,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:16:49,INT-001,2,RED ON,3,fixed
2026-04-20T00:16:52,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:17:08,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:17:12,INT-001,3,RED ON,3,fixed
2026-04-20T00:17:15,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:17:29,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:17:33,INT-001,4,RED ON,3,fixed
2026-04-20T00:17:36,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:17:56,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:18:00,INT-001,1,RED ON,3,fixed
2026-04-20T00:18:03,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:18:21,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:18:25,INT-001,2,RED ON,3,fixed
2026-04-20T00:18:28,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:18:44,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:18:48,INT-001,3,RED ON,3,fixed
2026-04-20T00:18:51,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:19:05,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:19:09,INT-001,4,RED ON,3,fixed
2026-04-20T00:19:12,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:19:32,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:19:36,INT-001,1,RED ON,3,fixed
2026-04-20T00:19:39,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:19:57,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:20:01,INT-001,2,RED ON,3,fixed
2026-04-20T00:20:04,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:20:20,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:20:24,INT-001,3,RED ON,3,fixed
2026-04-20T00:20:27,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:20:41,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:20:45,INT-001,4,RED ON,3,fixed
2026-04-20T00:20:48,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:21:08,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:21:12,INT-001,1,RED ON,3,fixed
2026-04-20T00:21:15,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:21:33,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:21:37,INT-001,2,RED ON,3,fixed
2026-04-20T00:21:40,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:21:56,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:22:00,INT-001,3,RED ON,3,fixed
2026-04-20T00:22:03,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:22:17,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:22:21,INT-001,4,RED ON,3,fixed
2026-04-20T00:22:24,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:22:44,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:22:48,INT-001,1,RED ON,3,fixed
2026-04-20T00:22:51,INT-001,2,GREEN ON,18,fixed
2026-04-20T00:23:09,INT-001,2,YELLOW ON,4,fixed
2026-04-20T00:23:13,INT-001,2,RED ON,3,fixed
2026-04-20T00:23:16,INT-001,3,GREEN ON,16,fixed
2026-04-20T00:23:32,INT-001,3,YELLOW ON,4,fixed
2026-04-20T00:23:36,INT-001,3,RED ON,3,fixed
2026-04-20T00:23:39,INT-001,4,GREEN ON,14,fixed
2026-04-20T00:23:53,INT-001,4,YELLOW ON,4,fixed
2026-04-20T00:23:57,INT-001,4,RED ON,3,fixed
2026-04-20T00:24:00,INT-001,1,GREEN ON,20,fixed
2026-04-20T00:24:20,INT-001,1,YELLOW ON,4,fixed
2026-04-20T00:24:24,INT-001,1,RED ON,3,fixed
2026-04-20T00:24:27,INT-001,2,GREEN ON,18,fixed
